Date,Open,High,Low,Close,Adj Close,Volume
2002-07-01,163.5,165.5,161.5,164.0,111.91232299804688,3334232
2002-07-02,161.5,162.5,158.5,160.5,109.52396392822266,3736040
2002-07-03,158.5,173.5,158.5,172.0,117.3714599609375,8455624
2002-07-04,173.5,174.5,167.5,168.5,114.98309326171875,7633492
2002-07-05,169.5,183.5,169.0,182.0,124.19537353515625,16311860
2002-07-08,187.0,193.0,183.0,190.0,129.65452575683594,14394784
2002-07-09,187.0,191.0,182.0,183.5,125.2189712524414,10068416
2002-07-10,186.0,191.0,183.5,187.0,127.60733032226562,14230072
2002-07-11,184.5,186.0,168.5,173.0,118.05382537841797,17131800
2002-07-12,182.0,188.5,177.5,184.5,125.90135955810547,18326984
2002-07-15,186.0,186.0,175.0,178.0,121.4657974243164,11700556
2002-07-16,178.5,179.0,171.5,174.5,119.07740783691406,12064628
2002-07-17,173.0,182.5,170.5,178.0,121.4657974243164,12187800
2002-07-18,182.5,186.5,180.5,185.5,126.583740234375,10429272
2002-07-19,182.5,183.5,170.0,173.5,118.3950424194336,10935064
2002-07-22,168.5,177.5,166.5,173.0,118.05382537841797,18073156
2002-07-23,172.0,187.5,169.5,186.0,126.92493438720703,23404788
2002-07-24,180.0,183.0,174.5,177.5,121.12457275390625,17148420
2002-07-25,184.5,192.0,180.5,186.5,127.26611328125,24045708
2002-07-26,177.5,183.5,175.0,179.0,122.148193359375,16045348
2002-07-29,177.5,183.5,175.5,181.5,123.85420989990234,15039216
2002-07-30,185.5,188.0,173.0,176.0,120.10101318359375,16598920
2002-07-31,174.5,185.0,145.0,174.5,119.07740783691406,38187160
2002-08-01,179.0,182.0,166.5,174.0,118.73624420166016,24704936
2002-08-02,168.5,181.0,162.0,173.0,118.05382537841797,23493364
2002-08-05,176.0,182.0,172.0,179.0,122.148193359375,20725352
2002-08-06,173.0,183.0,171.0,181.0,123.51299285888672,20323772
2002-08-07,186.0,186.0,176.0,178.5,121.80703735351562,23156140
2002-08-08,178.5,179.5,171.0,173.0,118.05382537841797,16075340
2002-08-09,176.5,181.5,174.0,180.0,122.83061218261719,15388448
2002-08-12,177.5,182.5,176.0,181.0,123.51299285888672,12032560
2002-08-13,180.0,188.5,179.5,187.5,127.94852447509766,13996720
2002-08-14,184.5,188.0,182.5,186.0,126.92493438720703,16446348
2002-08-15,186.0,186.0,186.0,186.0,126.92493438720703,0
2002-08-16,187.5,188.5,184.0,186.0,126.92493438720703,10419084
2002-08-19,186.0,187.0,183.5,185.0,126.2425308227539,7771092
2002-08-20,187.0,194.0,185.5,192.5,131.36050415039062,15519020
2002-08-21,188.0,193.5,187.5,190.5,129.99571228027344,15838040
2002-08-22,190.5,192.0,182.5,184.0,125.56017303466797,11978200
2002-08-23,184.5,209.0,184.0,205.5,140.2315673828125,58642920
2002-08-26,202.5,203.5,190.0,193.0,131.70164489746094,24429516
2002-08-27,193.0,197.0,185.0,187.0,127.60733032226562,21222312
2002-08-28,184.5,191.0,184.5,187.5,127.94852447509766,21087092
2002-08-29,187.5,193.0,186.0,190.0,129.65452575683594,19465708
2002-08-30,192.5,207.5,192.5,205.0,139.890380859375,34428040
2002-09-02,209.0,219.0,206.5,216.5,147.73794555664062,27393272
2002-09-03,212.5,214.0,207.5,210.5,143.6435546875,16736712
2002-09-04,206.0,219.5,204.5,214.5,146.3730926513672,34410656
2002-09-05,213.5,216.5,209.5,212.0,144.6671600341797,25078180
2002-09-06,208.0,215.0,205.5,211.0,143.98472595214844,37903588
2002-09-09,211.0,217.5,210.0,214.5,146.3730926513672,13429172
2002-09-10,214.5,214.5,214.5,214.5,146.3730926513672,0
2002-09-11,216.5,226.0,216.5,224.0,152.85585021972656,15246524
2002-09-12,231.0,231.0,222.5,224.5,154.22982788085938,14203788
2002-09-13,221.0,221.5,211.5,215.0,147.703369140625,11038820
2002-09-16,215.0,216.0,207.0,210.0,144.2683868408203,10085580
2002-09-17,210.5,219.0,210.5,216.5,148.73390197753906,13395368
2002-09-18,215.0,216.0,209.0,210.5,144.61195373535156,12923052
2002-09-19,212.0,212.5,204.5,207.0,142.20745849609375,16548084
2002-09-20,200.5,206.5,198.0,205.0,140.83346557617188,17892616
2002-09-23,197.5,209.5,197.5,203.5,139.80299377441406,12261552
2002-09-24,199.0,201.0,195.5,199.0,136.71151733398438,11548944
2002-09-25,196.0,206.0,195.5,203.5,139.80299377441406,14267180
2002-09-26,208.0,210.5,207.5,208.5,143.2379150390625,10850136
2002-09-27,209.0,213.0,209.0,210.5,144.61195373535156,9441764
2002-09-30,209.0,209.5,198.5,202.5,139.11599731445312,7734732
2002-10-01,199.0,203.5,188.0,189.5,130.1851043701172,29929300
2002-10-02,189.5,189.5,189.5,189.5,130.1851043701172,0
2002-10-03,192.0,193.0,184.0,186.5,128.12411499023438,29249996
2002-10-04,187.0,207.0,185.5,200.5,137.74203491210938,40973412
2002-10-07,200.5,207.5,199.0,206.0,141.5204620361328,20404292
2002-10-08,204.0,212.5,204.0,209.5,143.9249267578125,24924592
2002-10-09,212.0,213.0,199.5,203.0,139.4595184326172,29616188
2002-10-10,201.5,205.5,193.0,202.0,138.77247619628906,35098996
2002-10-11,208.5,209.5,204.0,206.5,141.86395263671875,17042248
2002-10-14,209.5,210.5,196.0,199.5,137.05499267578125,19339964
2002-10-15,199.5,199.5,199.5,199.5,137.05499267578125,0
2002-10-16,202.5,204.0,198.5,200.0,137.3984832763672,21327664
2002-10-17,199.0,205.0,199.0,203.0,139.4595184326172,14435500
2002-10-18,206.5,209.0,202.0,204.0,140.146484375,15292648
2002-10-21,207.0,207.5,203.0,204.0,140.146484375,11087916
2002-10-22,206.0,206.0,200.0,201.5,138.42904663085938,11593896
2002-10-23,200.5,205.0,200.0,201.5,138.42904663085938,9561028
2002-10-24,203.5,207.5,200.5,206.0,141.5204620361328,17251744
2002-10-25,205.0,205.0,196.5,202.0,138.77247619628906,14504004
2002-10-28,203.5,203.5,197.5,200.0,137.3984832763672,8648364
2002-10-29,200.5,202.0,194.0,198.0,136.0245361328125,15568016
2002-10-30,200.0,205.5,199.0,201.5,138.42904663085938,12325828
2002-10-31,203.0,203.0,199.0,200.5,137.74203491210938,7766304
2002-11-01,202.0,202.5,186.5,187.5,128.8111114501953,18817596
2002-11-04,193.5,193.5,187.0,188.0,129.15463256835938,4269588
2002-11-05,188.5,193.5,182.5,190.5,130.87210083007812,13015172
2002-11-06,190.5,190.5,190.5,190.5,130.87210083007812,0
2002-11-07,191.5,198.5,190.0,193.5,132.9330596923828,12512304
2002-11-08,190.5,194.0,190.0,192.0,131.90260314941406,6939012
2002-11-11,192.0,192.0,186.0,186.5,128.12411499023438,8225916
2002-11-12,183.5,192.0,183.0,190.5,130.87210083007812,11939432
2002-11-13,192.0,193.0,189.0,190.5,130.87210083007812,10143460
2002-11-14,191.0,199.5,190.5,196.0,134.65057373046875,17034904
2002-11-15,199.0,204.0,198.5,201.5,138.42904663085938,10799952
2002-11-18,202.0,211.5,201.0,210.5,144.61195373535156,16866236
2002-11-19,210.5,210.5,210.5,210.5,144.61195373535156,0
2002-11-20,208.0,213.5,207.5,209.0,143.58145141601562,10658792
2002-11-21,210.5,216.5,210.5,213.5,146.6728973388672,11636096
2002-11-22,218.0,225.0,217.5,223.0,153.19935607910156,15462952
2002-11-25,222.0,235.5,221.0,232.5,159.7257843017578,17827704
2002-11-26,229.5,247.0,226.0,237.5,163.1607208251953,21261172
2002-11-27,236.5,241.0,233.5,237.0,162.8172149658203,17180944
2002-11-28,241.0,244.0,239.0,242.0,166.252197265625,9733664
2002-11-29,244.0,244.0,239.0,242.0,166.252197265625,6542852
2002-12-02,241.5,253.0,240.5,251.5,172.77862548828125,10922896
2002-12-03,248.5,249.5,229.0,235.5,161.78672790527344,19021508
2002-12-04,231.0,238.5,228.5,230.0,158.00828552246094,18931468
2002-12-05,232.0,237.0,231.5,233.5,160.4127655029297,8727616
2002-12-06,234.5,240.0,234.5,236.0,162.13021850585938,9241252
2002-12-09,239.5,247.0,239.0,241.5,165.90870666503906,8763132
2002-12-10,239.0,244.5,234.5,242.5,166.59567260742188,6642328
2002-12-11,246.5,247.0,238.5,241.0,165.56521606445312,8677288
2002-12-12,241.5,246.0,237.5,239.5,164.53469848632812,7395052
2002-12-13,242.0,243.5,239.0,240.5,165.22171020507812,3498204
2002-12-16,242.5,244.0,234.0,236.0,162.13021850585938,4385280
2002-12-17,238.0,240.5,233.5,234.5,161.09974670410156,4696108
2002-12-18,236.0,242.5,231.5,238.5,163.84771728515625,11213052
2002-12-19,237.5,245.0,237.5,243.0,166.9391632080078,7171784
2002-12-20,244.5,250.5,241.0,248.5,170.71768188476562,9852208
2002-12-23,247.0,248.0,242.5,244.5,167.96971130371094,6599684
2002-12-24,243.5,249.5,243.5,248.5,170.71768188476562,5132268
2002-12-25,248.5,248.5,248.5,248.5,170.71768188476562,0
2002-12-26,249.0,263.0,249.0,261.0,179.3050537109375,14525644
2002-12-27,259.0,261.5,256.0,258.0,177.2440643310547,7889580
2002-12-30,256.5,267.0,254.5,264.0,181.36607360839844,11402596
2002-12-31,264.0,270.0,263.5,268.5,184.45753479003906,10534244
2003-01-01,267.5,275.5,267.5,273.5,187.89247131347656,9319180
2003-01-02,273.5,277.5,257.5,259.0,177.9310760498047,17044304
2003-01-03,267.0,267.0,260.5,262.5,180.33554077148438,9730036
2003-01-06,263.0,268.0,261.5,262.5,180.33554077148438,9048548
2003-01-07,265.5,268.5,262.0,265.5,182.3965606689453,8963436
2003-01-08,267.0,294.5,267.0,289.5,198.88427734375,25789800
